sample	stage	reads
CD14_S1	input	11276318
CD14_S1	tRNA_matched	71486
CD14_S1	not_tRNA	11204832
CD14_S1	RNAcentral_matched	16404
CD14_S1	candidate_remaining	11188428
CD14_S2	input	13203188
CD14_S2	tRNA_matched	42611
CD14_S2	not_tRNA	13160577
CD14_S2	RNAcentral_matched	10453
CD14_S2	candidate_remaining	13150124
CD14_S3	input	11535091
CD14_S3	tRNA_matched	22457
CD14_S3	not_tRNA	11512634
CD14_S3	RNAcentral_matched	9585
CD14_S3	candidate_remaining	11503049
CD14_S4	input	17559159
CD14_S4	tRNA_matched	15398
CD14_S4	not_tRNA	17543761
CD14_S4	RNAcentral_matched	11170
CD14_S4	candidate_remaining	17532591
CD19_S1	input	19191518
CD19_S1	tRNA_matched	11645
CD19_S1	not_tRNA	19179873
CD19_S1	RNAcentral_matched	10108
CD19_S1	candidate_remaining	19169765
CD19_S2	input	19877333
CD19_S2	tRNA_matched	11116
CD19_S2	not_tRNA	19866217
CD19_S2	RNAcentral_matched	10764
CD19_S2	candidate_remaining	19855453
CD19_S3	input	18703418
CD19_S3	tRNA_matched	7233
CD19_S3	not_tRNA	18696185
CD19_S3	RNAcentral_matched	8417
CD19_S3	candidate_remaining	18687768
CD19_S4	input	19730678
CD19_S4	tRNA_matched	7238
CD19_S4	not_tRNA	19723440
CD19_S4	RNAcentral_matched	8399
CD19_S4	candidate_remaining	19715041
CD4_S1	input	17193253
CD4_S1	tRNA_matched	20515
CD4_S1	not_tRNA	17172738
CD4_S1	RNAcentral_matched	8166
CD4_S1	candidate_remaining	17164572
CD4_S2	input	17855934
CD4_S2	tRNA_matched	10086
CD4_S2	not_tRNA	17845848
CD4_S2	RNAcentral_matched	5981
CD4_S2	candidate_remaining	17839867
CD4_S3	input	19421246
CD4_S3	tRNA_matched	4994
CD4_S3	not_tRNA	19416252
CD4_S3	RNAcentral_matched	4119
CD4_S3	candidate_remaining	19412133
CD4_S4	input	19077579
CD4_S4	tRNA_matched	6744
CD4_S4	not_tRNA	19070835
CD4_S4	RNAcentral_matched	5517
CD4_S4	candidate_remaining	19065318
CD56_S1	input	17623326
CD56_S1	tRNA_matched	29523
CD56_S1	not_tRNA	17593803
CD56_S1	RNAcentral_matched	11798
CD56_S1	candidate_remaining	17582005
CD56_S2	input	14407695
CD56_S2	tRNA_matched	25473
CD56_S2	not_tRNA	14382222
CD56_S2	RNAcentral_matched	17895
CD56_S2	candidate_remaining	14364327
CD56_S3	input	14589098
CD56_S3	tRNA_matched	10892
CD56_S3	not_tRNA	14578206
CD56_S3	RNAcentral_matched	6129
CD56_S3	candidate_remaining	14572077
CD56_S4	input	17877836
CD56_S4	tRNA_matched	8039
CD56_S4	not_tRNA	17869797
CD56_S4	RNAcentral_matched	9216
CD56_S4	candidate_remaining	17860581
