sample	raw_reads	passed_fastp	after_mature_miRNA_unmapped	after_hairpin_miRNA_unmapped	RNAcentral_matched	candidate_USRF_total	mature_hairpin_unmapped	not_tRNA	tRNA_matched	fastp_removed	mature_miRNA_removed	hairpin_miRNA_removed	tRNA_removed	RNAcentral_removed
CD14_S1	33666454	33606041	32136797	11276318	16404	11188428	11276318	11204832	71486	60413	1469244	20860479	71486	16404
CD14_S2	36356801	36279556	34639415	13203188	10453	13150124	13203188	13160577	42611	77245	1640141	21436227	42611	10453
CD14_S3	35451156	35365237	33398554	11535091	9585	11503049	11535091	11512634	22457	85919	1966683	21863463	22457	9585
CD14_S4	37654239	36882410	35238363	17559159	11170	17532591	17559159	17543761	15398	771829	1644047	17679204	15398	11170
CD19_S1	30739877	30612117	28031331	19191518	10108	19169765	19191518	19179873	11645	127760	2580786	8839813	11645	10108
CD19_S2	28719495	28532892	26483412	19877333	10764	19855453	19877333	19866217	11116	186603	2049480	6606079	11116	10764
CD19_S3	30978625	30880981	28322560	18703418	8417	18687768	18703418	18696185	7233	97644	2558421	9619142	7233	8417
CD19_S4	25183389	25120029	24019234	19730678	8399	19715041	19730678	19723440	7238	63360	1100795	4288556	7238	8399
CD4_S1	28469446	28374651	25651042	17193253	8166	17164572	17193253	17172738	20515	94795	2723609	8457789	20515	8166
CD4_S2	30104067	29963671	26788393	17855934	5981	17839867	17855934	17845848	10086	140396	3175278	8932459	10086	5981
CD4_S3	31156982	31059494	28340205	19421246	4119	19412133	19421246	19416252	4994	97488	2719289	8918959	4994	4119
CD4_S4	28835978	28765119	27097673	19077579	5517	19065318	19077579	19070835	6744	70859	1667446	8020094	6744	5517
CD56_S1	30971692	30823409	28245059	17623326	11798	17582005	17623326	17593803	29523	148283	2578350	10621733	29523	11798
CD56_S2	32549200	32380826	28209310	14407695	17895	14364327	14407695	14382222	25473	168374	4171516	13801615	25473	17895
CD56_S3	28402896	28330660	25976721	14589098	6129	14572077	14589098	14578206	10892	72236	2353939	11387623	10892	6129
CD56_S4	30065082	29993175	27713503	17877836	9216	17860581	17877836	17869797	8039	71907	2279672	9835667	8039	9216
