sample	total_reads	mean_length_nt	median_length_nt	min_length_nt	max_length_nt	reads_10_20nt	percent_10_20nt	cell_type
CD14_S1	11276318.0	45.22801290279327	34.0	11.0	100.0	1298780.0	11.517766703634999	CD14
CD14_S2	13203188.0	51.22245930301076	62.0	11.0	100.0	1094243.0	8.287718087480084	CD14
CD14_S3	11535091.0	52.24324463500115	62.0	12.0	100.0	1365576.0	11.838450169140408	CD14
CD14_S4	17559159.0	57.26839924395012	63.0	12.0	100.0	1306118.0	7.438385858912719	CD14
CD19_S1	19191518.0	56.239087861627205	63.0	12.0	100.0	950790.0	4.954219879844836	CD19
CD19_S2	19877333.0	59.31929001742839	63.0	12.0	100.0	685114.0	3.4467098780304175	CD19
CD19_S3	18703418.0	56.711464449973796	63.0	11.0	100.0	856278.0	4.578189932984442	CD19
CD19_S4	19730678.0	62.2255861151857	66.0	12.0	100.0	521430.0	2.6427373656394373	CD19
CD4_S1	17193253.0	56.403797350041906	63.0	11.0	100.0	800955.0	4.658542510832593	CD4
CD4_S2	17855934.0	59.48395597788388	63.0	12.0	100.0	592453.0	3.3179614127157953	CD4
CD4_S3	19421246.0	60.99408091530276	65.0	11.0	100.0	682330.0	3.5133173226887706	CD4
CD4_S4	19077579.0	60.47864417177882	64.0	12.0	100.0	639478.0	3.3519871677637925	CD4
CD56_S1	17623326.0	55.534116488567484	63.0	12.0	100.0	988465.0	5.608844777654342	CD56
CD56_S2	14407695.0	51.23992248586606	62.0	11.0	100.0	1196343.0	8.303500317018093	CD56
CD56_S3	14589098.0	56.358245382956504	63.0	11.0	100.0	867070.0	5.9432735320579795	CD56
CD56_S4	17877836.0	58.03943077898242	63.0	12.0	100.0	680290.0	3.8052144566042556	CD56
