sample	stage	total_reads	reads_11_20nt	percent_11_20nt
CD14_S1	not_tRNA	11204832	1284496	11.463768488452125
CD14_S1	candidate_USRF	11188428	1273082	11.378560062235731
CD14_S1	tRNA_matched	71486	14284	19.981534845983827
CD14_S1	RNAcentral_matched	16404	11414	69.58059009997561
CD14_S2	not_tRNA	13160577	1084234	8.238498965508883
CD14_S2	candidate_USRF	13150124	1078283	8.1997934011877
CD14_S2	tRNA_matched	42611	10009	23.48923986763981
CD14_S2	RNAcentral_matched	10453	5951	56.93102458624318
CD14_S3	not_tRNA	11512634	1353641	11.757874001727146
CD14_S3	candidate_USRF	11503049	1347276	11.712338180946634
CD14_S3	tRNA_matched	22457	11935	53.1460123792136
CD14_S3	RNAcentral_matched	9585	6365	66.40584246218049
CD14_S4	not_tRNA	17543761	1298224	7.399918409741218
CD14_S4	candidate_USRF	17532591	1292042	7.369372843979535
CD14_S4	tRNA_matched	15398	7894	51.266398233536826
CD14_S4	RNAcentral_matched	11170	6182	55.34467323187109
CD19_S1	not_tRNA	19179873	946628	4.935527988115458
CD19_S1	candidate_USRF	19169765	940162	4.904400236518288
CD19_S1	tRNA_matched	11645	4162	35.74066122799485
CD19_S1	RNAcentral_matched	10108	6466	63.96913335971508
CD19_S2	not_tRNA	19866217	680880	3.4273258970240783
CD19_S2	candidate_USRF	19855453	673989	3.3944780811598707
CD19_S2	tRNA_matched	11116	4234	38.08924073407701
CD19_S2	RNAcentral_matched	10764	6891	64.01895206243033
CD19_S3	not_tRNA	18696185	852562	4.560085386403697
CD19_S3	candidate_USRF	18687768	846967	4.532199886043106
CD19_S3	tRNA_matched	7233	3716	51.375639430388496
CD19_S3	RNAcentral_matched	8417	5595	66.47261494594274
CD19_S4	not_tRNA	19723440	519352	2.63317149543893
CD19_S4	candidate_USRF	19715041	514545	2.609910879718688
CD19_S4	tRNA_matched	7238	2078	28.70958828405637
CD19_S4	RNAcentral_matched	8399	4807	57.23300392903917
CD4_S1	not_tRNA	17172738	792677	4.615903416217029
CD4_S1	candidate_USRF	17164572	787843	4.589936760438886
CD4_S1	tRNA_matched	20515	8278	40.35096271021204
CD4_S1	RNAcentral_matched	8166	4834	59.19666911584619
CD4_S2	not_tRNA	17845848	585490	3.28081915748694
CD4_S2	candidate_USRF	17839867	581618	3.2602148883733273
CD4_S2	tRNA_matched	10086	6963	69.03628792385484
CD4_S2	RNAcentral_matched	5981	3872	64.73833807055676
CD4_S3	not_tRNA	19416252	679312	3.4986772936403994
CD4_S3	candidate_USRF	19412133	676457	3.4847123703510583
CD4_S3	tRNA_matched	4994	3018	60.43251902282739
CD4_S3	RNAcentral_matched	4119	2855	69.31294003398884
CD4_S4	not_tRNA	19070835	636235	3.3361675039399166
CD4_S4	candidate_USRF	19065318	633033	3.3203380085241694
CD4_S4	tRNA_matched	6744	3243	48.087188612099645
CD4_S4	RNAcentral_matched	5517	3202	58.03878919702738
CD56_S1	not_tRNA	17593803	978843	5.563566899095096
CD56_S1	candidate_USRF	17582005	971762	5.527026070121126
CD56_S1	tRNA_matched	29523	9622	32.591538800257425
CD56_S1	RNAcentral_matched	11798	7081	60.01864722834379
CD56_S2	not_tRNA	14382222	1183778	8.230842216174942
CD56_S2	candidate_USRF	14364327	1172145	8.160110807836665
CD56_S2	tRNA_matched	25473	12565	49.32673811486672
CD56_S2	RNAcentral_matched	17895	11633	65.00698519139424
CD56_S3	not_tRNA	14578206	861902	5.912263827250074
CD56_S3	candidate_USRF	14572077	857852	5.886957638228236
CD56_S3	tRNA_matched	10892	5168	47.447668013220714
CD56_S3	RNAcentral_matched	6129	4050	66.07929515418502
CD56_S4	not_tRNA	17869797	676776	3.787261825078371
CD56_S4	candidate_USRF	17860581	670322	3.7530805968742005
CD56_S4	tRNA_matched	8039	3514	43.71190446572957
CD56_S4	RNAcentral_matched	9216	6454	70.03038194444444
