sample	RNAcentral_matched	candidate_USRF	not_tRNA	tRNA_matched	tRNA_removed_11_20nt	RNAcentral_removed_11_20nt	candidate_USRF_11_20nt	cell_type
CD14_S1	11414	1273082	1284496	14284	14284	11414	1273082	CD14
CD14_S2	5951	1078283	1084234	10009	10009	5951	1078283	CD14
CD14_S3	6365	1347276	1353641	11935	11935	6365	1347276	CD14
CD14_S4	6182	1292042	1298224	7894	7894	6182	1292042	CD14
CD19_S1	6466	940162	946628	4162	4162	6466	940162	CD19
CD19_S2	6891	673989	680880	4234	4234	6891	673989	CD19
CD19_S3	5595	846967	852562	3716	3716	5595	846967	CD19
CD19_S4	4807	514545	519352	2078	2078	4807	514545	CD19
CD4_S1	4834	787843	792677	8278	8278	4834	787843	CD4
CD4_S2	3872	581618	585490	6963	6963	3872	581618	CD4
CD4_S3	2855	676457	679312	3018	3018	2855	676457	CD4
CD4_S4	3202	633033	636235	3243	3243	3202	633033	CD4
CD56_S1	7081	971762	978843	9622	9622	7081	971762	CD56
CD56_S2	11633	1172145	1183778	12565	12565	11633	1172145	CD56
CD56_S3	4050	857852	861902	5168	5168	4050	857852	CD56
CD56_S4	6454	670322	676776	3514	3514	6454	670322	CD56
