sample	RNAcentral_matched	candidate_USRF	not_tRNA	tRNA_matched	cell_type	RNAcentral_removed_11_20nt	tRNA_removed_11_20nt	candidate_USRF_11_20nt
CD14_S1	11414	1273082	1284496	14284	CD14	11414	14284	1273082
CD14_S2	5951	1078283	1084234	10009	CD14	5951	10009	1078283
CD14_S3	6365	1347276	1353641	11935	CD14	6365	11935	1347276
CD14_S4	6182	1292042	1298224	7894	CD14	6182	7894	1292042
CD19_S1	6466	940162	946628	4162	CD19	6466	4162	940162
CD19_S2	6891	673989	680880	4234	CD19	6891	4234	673989
CD19_S3	5595	846967	852562	3716	CD19	5595	3716	846967
CD19_S4	4807	514545	519352	2078	CD19	4807	2078	514545
CD4_S1	4834	787843	792677	8278	CD4	4834	8278	787843
CD4_S2	3872	581618	585490	6963	CD4	3872	6963	581618
CD4_S3	2855	676457	679312	3018	CD4	2855	3018	676457
CD4_S4	3202	633033	636235	3243	CD4	3202	3243	633033
CD56_S1	7081	971762	978843	9622	CD56	7081	9622	971762
CD56_S2	11633	1172145	1183778	12565	CD56	11633	12565	1172145
CD56_S3	4050	857852	861902	5168	CD56	4050	5168	857852
CD56_S4	6454	670322	676776	3514	CD56	6454	3514	670322
